Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
2,1685031161382,25/05/2023 16:12:41,1685034761382,1,25/05/2023 18:12:41,128616,14,task-58je,,29725985,BLIND,8844192,,complete,,646f94e7680f6cf0efe01802,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1463x823,1463x672,,End Screen,2,Singular-Plural,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,3520.9000000953674,3512.948,3520.9000000953674,3520.9000000953674,3512.948,3520.9000000953674,1,3520.9000000953674,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685031161384,25/05/2023 16:12:41,1685034761384,1,25/05/2023 18:12:41,128616,14,task-58je,,29725985,BLIND,8844192,,complete,,646f94e7680f6cf0efe01802,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1463x823,1463x672,,End Screen,2,Singular-Plural,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685031251801,25/05/2023 16:14:11,1685034851801,1,25/05/2023 18:14:11,128616,14,task-58je,,29726002,BLIND,8844185,,complete,,646f94ac9dfb927465e59c7d,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x961,,End Screen,2,Singular-Dual,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685031254444,25/05/2023 16:14:14,1685034854444,1,25/05/2023 18:14:14,128616,14,task-58je,,29726002,BLIND,8844185,,complete,,646f94ac9dfb927465e59c7d,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x961,,End Screen,2,Singular-Dual,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,2653.284000000186,2650.0239999999994,2653.284000000186,2653.284000000186,2650.0239999999994,2653.284000000186,1,2653.284000000186,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685031254447,25/05/2023 16:14:14,1685034854447,1,25/05/2023 18:14:14,128616,14,task-58je,,29726002,BLIND,8844185,,complete,,646f94ac9dfb927465e59c7d,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x961,,End Screen,2,Singular-Dual,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685031267282,25/05/2023 16:14:27,1685034867282,1,25/05/2023 18:14:27,128616,14,task-58je,,29726004,BLIND,8844167,,complete,,646f942e6f8d21986bdded29,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1366x768,1366x657,,End Screen,2,Dual-Plural,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685031269885,25/05/2023 16:14:29,1685034869885,1,25/05/2023 18:14:29,128616,14,task-58je,,29726004,BLIND,8844167,,complete,,646f942e6f8d21986bdded29,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1366x768,1366x657,,End Screen,2,Dual-Plural,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,2613.0930000178814,2597.189,2613.0930000178814,2613.0930000178814,2597.189,2613.0930000178814,1,2613.0930000178814,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685031269886,25/05/2023 16:14:29,1685034869886,1,25/05/2023 18:14:29,128616,14,task-58je,,29726004,BLIND,8844167,,complete,,646f942e6f8d21986bdded29,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1366x768,1366x657,,End Screen,2,Dual-Plural,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685031344237,25/05/2023 16:15:44,1685034944237,1,25/05/2023 18:15:44,128616,14,task-58je,,29726021,BLIND,8844201,,complete,,646f9365c24c868cf09ad0e0,computer,Desktop or Laptop,Windows 10,Firefox 111.0,1920x1080,1920x927,,End Screen,2,Dual-Plural,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685031346573,25/05/2023 16:15:46,1685034946573,1,25/05/2023 18:15:46,128616,14,task-58je,,29726021,BLIND,8844201,,complete,,646f9365c24c868cf09ad0e0,computer,Desktop or Laptop,Windows 10,Firefox 111.0,1920x1080,1920x927,,End Screen,2,Dual-Plural,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,2341.3199999999997,2335.24,2341.3199999999997,2341.3199999999997,2335.24,2341.3199999999997,1,2341.3199999999997,0,0,,Click To Continue,Continue Button,2,object-4,End,
