Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
2,1685177488933,27/05/2023 08:51:28,1685181088933,1,27/05/2023 10:51:28,128616,14,task-58je,,29751993,60a0067f943f8d336ec80fa1,8853943,,complete,,6471cfd54803c728361f3d92,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,End Screen,2,Dual-Plural,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,2263.030000023842,2250.0960000000005,2263.030000023842,2263.030000023842,2250.0960000000005,2263.030000023842,1,2263.030000023842,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685177488936,27/05/2023 08:51:28,1685181088936,1,27/05/2023 10:51:28,128616,14,task-58je,,29751993,60a0067f943f8d336ec80fa1,8853943,,complete,,6471cfd54803c728361f3d92,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,End Screen,2,Dual-Plural,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685177503783,27/05/2023 08:51:43,1685181103783,1,27/05/2023 10:51:43,128616,14,task-58je,,29751994,5d6a924a9e02d2001514311a,8853946,,complete,,6471cf77770aac475f6b4a63,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.88,1280x800,1280x629,,End Screen,2,Singular-Plural,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685177506389,27/05/2023 08:51:46,1685181106389,1,27/05/2023 10:51:46,128616,14,task-58je,,29751994,5d6a924a9e02d2001514311a,8853946,,complete,,6471cf77770aac475f6b4a63,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.88,1280x800,1280x629,,End Screen,2,Singular-Plural,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,2626.9080000000004,2610.282,2626.9080000000004,2626.9080000000004,2610.282,2626.9080000000004,1,2626.9080000000004,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685177506393,27/05/2023 08:51:46,1685181106393,1,27/05/2023 10:51:46,128616,14,task-58je,,29751994,5d6a924a9e02d2001514311a,8853946,,complete,,6471cf77770aac475f6b4a63,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.88,1280x800,1280x629,,End Screen,2,Singular-Plural,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685177538142,27/05/2023 08:52:18,1685181138142,1,27/05/2023 10:52:18,128616,14,task-58je,,29752009,5fbc09e242e4d907cad1af91,8853957,,complete,,6471d05488b3f3b0bc17ae9d,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1280x720,1280x569,,End Screen,2,Dual-Plural,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685177539643,27/05/2023 08:52:19,1685181139643,1,27/05/2023 10:52:19,128616,14,task-58je,,29752009,5fbc09e242e4d907cad1af91,8853957,,complete,,6471d05488b3f3b0bc17ae9d,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1280x720,1280x569,,End Screen,2,Dual-Plural,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,1510.2150000476838,1500.122,1510.2150000476838,1510.2150000476838,1500.122,1510.2150000476838,1,1510.2150000476838,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685177539646,27/05/2023 08:52:19,1685181139646,1,27/05/2023 10:52:19,128616,14,task-58je,,29752009,5fbc09e242e4d907cad1af91,8853957,,complete,,6471d05488b3f3b0bc17ae9d,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1280x720,1280x569,,End Screen,2,Dual-Plural,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685177559543,27/05/2023 08:52:39,1685181159543,1,27/05/2023 10:52:39,128616,14,task-58je,,29752017,5b54b7ae2680970001a9a7d3,8853953,,complete,,6471cfa4aada61bc8fefa326,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1366x768,1366x657,,End Screen,2,Singular-Plural,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685177561397,27/05/2023 08:52:41,1685181161397,1,27/05/2023 10:52:41,128616,14,task-58je,,29752017,5b54b7ae2680970001a9a7d3,8853953,,complete,,6471cfa4aada61bc8fefa326,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1366x768,1366x657,,End Screen,2,Singular-Plural,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,1867.684,1851.019,1867.684,1867.684,1851.019,1867.684,1,1867.684,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685177561402,27/05/2023 08:52:41,1685181161402,1,27/05/2023 10:52:41,128616,14,task-58je,,29752017,5b54b7ae2680970001a9a7d3,8853953,,complete,,6471cfa4aada61bc8fefa326,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1366x768,1366x657,,End Screen,2,Singular-Plural,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
